MonthYear,Description,TotalQuantitySold,AverageUnitPrice,TotalSales
2010-12, 4 PURPLE FLOCK DINNER CANDLES,16,3.39,45.82
2010-12, OVAL WALL MIRROR DIAMANTE ,22,13.31,283.03
2010-12, SET 2 TEA TOWELS I LOVE LONDON ,306,3.71,1006.94
2010-12,*Boombox Ipod Classic,1,16.98,16.98
2010-12,*USB Office Mirror Ball,2,8.47,16.94
2010-12,10 COLOUR SPACEBOY PEN,583,1.16,525.27
2010-12,12 COLOURED PARTY BALLOONS,62,0.73,40.93
2010-12,12 DAISY PEGS IN WOOD BOX,12,2.14,23.22
2010-12,12 EGG HOUSE PAINTED WOOD,11,24.07,254.91
2010-12,12 IVORY ROSE PEG PLACE SETTINGS,22,1.43,28.76
2010-12,12 MESSAGE CARDS WITH ENVELOPES,211,2.52,372.03
2010-12,12 PENCIL SMALL TUBE WOODLAND,319,0.89,242.63
2010-12,12 PENCILS SMALL TUBE RED RETROSPOT,718,0.89,513.32
2010-12,12 PENCILS SMALL TUBE SKULL,362,0.85,261.13
2010-12,12 PENCILS TALL TUBE POSY,17,0.85,14.45
2010-12,12 PENCILS TALL TUBE RED RETROSPOT,146,0.85,124.1
2010-12,12 PENCILS TALL TUBE SKULLS,142,0.85,120.7
2010-12,12 PENCILS TALL TUBE WOODLAND,106,1.02,94.15
2010-12,12 PINK ROSE PEG PLACE SETTINGS,16,1.25,20.0
2010-12,12 RED ROSE PEG PLACE SETTINGS,17,2.05,31.33
2010-12,15CM CHRISTMAS GLASS BALL 20 LIGHTS,103,11.17,969.39
2010-12,2 DAISIES HAIR COMB,1,2.96,2.96
2010-12,20 DOLLY PEGS RETROSPOT,423,1.72,554.01
2010-12,200 BENDY SKULL STRAWS,42,1.41,55.02
2010-12,200 RED + WHITE BENDY STRAWS,75,1.4,97.53
2010-12,3 GARDENIA MORRIS BOXED CANDLES,13,5.66,67.91
2010-12,3 HEARTS HANGING DECORATION RUSTIC,485,3.25,1415.06
2010-12,3 HOOK HANGER MAGIC GARDEN,105,3.24,225.09
2010-12,3 HOOK PHOTO SHELF ANTIQUE WHITE,69,11.37,642.42
2010-12,3 PIECE SPACEBOY COOKIE CUTTER SET,151,2.57,340.31
2010-12,3 ROSE MORRIS BOXED CANDLES,77,4.23,157.24
2010-12,3 STRIPEY MICE FELTCRAFT,264,2.63,581.94
2010-12,3 TIER CAKE TIN GREEN AND CREAM,33,22.1,701.11
2010-12,3 TIER CAKE TIN RED AND CREAM,24,20.43,477.68
